Name,IDfg,Age,Team,xwOBA,xSLG,xBA,Barrel%,HardHit%,K%,BB%,BABIP,SwStr%,wRC+,HR/FB,GB%,FB%,Pull%,Spd,HR,RBI,R,SB,AVG,OBP,SLG,wOBA,proj_PA,xwOBA_rank
Sheldon Neuse,19635,28,OAK,0.258,0.3,0.214,0.031,0.382,0.273,0.068,0.289,0.131,65.0,0.114,0.639,0.183,0.309,5.4,3.92,26.0,25.0,5.52,0.214,0.273,0.288,0.253,293,645.0
Jason Delay,19806,29,PIT,0.2577,0.2931,0.209,0.029,0.2422,0.2497,0.0702,0.3273,0.1284,74.6593,0.0258,0.4306,0.334,0.4034,2.8541,0.96,16.394,19.312,0.0,0.242,0.307,0.33,0.284,182,646.0
Korey Lee,25543,26,CHW,0.257,0.342,0.209,0.075,0.376,0.31,0.043,0.276,0.195,65.0,0.133,0.482,0.359,0.396,4.1,11.88,37.0,36.0,6.0,0.21,0.244,0.347,0.257,394,648.0
Yoshi Tsutsugo,27459,31,PIT,0.257,0.297,0.194,0.056,0.363,0.259,0.098,0.221,0.086,36.0,0.043,0.476,0.371,0.331,0.7,1.84,19.0,11.0,0.0,0.171,0.249,0.229,0.221,193,648.0
Jhonkensy Noel,24257,24,CLE,0.257,0.3572,0.186,0.0991,0.3923,0.3302,0.0439,0.2213,0.1825,68.2439,0.1871,0.4186,0.44,0.5485,2.6447,8.856,19.707,21.683,0.0,0.187,0.23,0.382,0.262,170,648.0
Willie MacIver,24641,29,ATH,0.256,0.308,0.2,0.04,0.373,0.243,0.063,0.222,0.116,58.0,0.115,0.493,0.347,0.307,4.1,2.88,9.0,7.0,2.64,0.186,0.252,0.324,0.256,111,650.0
Oswald Peraza,22823,26,- - -,0.2552,0.312,0.1995,0.0607,0.3645,0.2935,0.0649,0.2269,0.1582,36.2555,0.0841,0.5157,0.328,0.4575,5.0745,4.318,18.723,22.085,7.936,0.17,0.232,0.255,0.221,245,651.0
Denzel Clarke,29858,26,ATH,0.254,0.326,0.204,0.067,0.427,0.384,0.038,0.369,0.139,75.0,0.12,0.535,0.291,0.337,8.4,2.97,8.0,18.0,6.0,0.23,0.274,0.372,0.281,159,652.0
Andrew Velazquez,14196,28,LAA,0.253,0.331,0.203,0.066,0.34,0.341,0.043,0.274,0.17,49.0,0.136,0.467,0.338,0.335,6.1,8.82,28.0,37.0,15.64,0.196,0.236,0.304,0.239,349,653.0
Tyler Locklear,31396,25,ARI,0.252,0.287,0.172,0.067,0.417,0.371,0.086,0.263,0.147,52.0,0.158,0.6,0.317,0.483,4.1,2.94,6.0,11.0,3.0,0.175,0.267,0.262,0.245,116,654.0
Nick Allen,22277,27,ATL,0.2514,0.2738,0.2202,0.0034,0.2271,0.218,0.0689,0.2851,0.0916,53.6341,0.0143,0.4709,0.3315,0.3198,3.5111,1.132,21.364,31.292,6.73,0.22,0.278,0.261,0.245,387,655.0
Hyeseong Kim,35322,27,LAD,0.251,0.309,0.221,0.027,0.282,0.306,0.041,0.396,0.144,95.0,0.103,0.523,0.266,0.373,7.1,3.0,17.0,19.0,12.48,0.28,0.314,0.385,0.306,170,656.5
Jonathan Villar,10071,32,- - -,0.251,0.291,0.209,0.027,0.404,0.268,0.068,0.275,0.154,59.0,0.094,0.601,0.224,0.301,7.3,2.7,18.0,25.0,5.32,0.208,0.26,0.302,0.25,220,656.5
Francisco Mejia,16403,28,TBR,0.2501,0.3267,0.216,0.0369,0.3059,0.2299,0.0322,0.276,0.1232,80.9191,0.0856,0.3684,0.4295,0.4844,2.601,5.276,23.606,25.838,0.0,0.233,0.26,0.393,0.28,195,658.0
Jed Lowrie,4418,39,OAK,0.25,0.291,0.195,0.031,0.308,0.212,0.082,0.213,0.107,49.0,0.057,0.411,0.411,0.469,2.6,2.28,16.0,14.0,0.6,0.18,0.245,0.263,0.23,184,660.0
Dominic Fletcher,26149,27,CHW,0.25,0.291,0.22,0.018,0.266,0.241,0.046,0.273,0.088,43.0,0.018,0.442,0.333,0.304,1.0,1.0,17.0,14.0,0.0,0.206,0.252,0.256,0.227,241,660.0
