Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Freddie Freeman","LAD",151,651,568,161,98,37,2,24,89,91,69,8,121,9,5,0,,8,2,0.283727,0.106201,0.18614,0.570545,0.367121,0.482179,0.362981,0.8493,0.198452,4.1316,0.320729,-0.73061,-0.381193,103.309,26.3884,134.748,-1.1118,-0.897077,25.69873583316803,-12.572076916694641,3.559,67.0199966430664,,,,,,,921.5,6.102649006,921.5,6.102649006,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
"Nick Kurtz","ATH",143,616,534,139,74,28,1,36,97,99,73,3,173,4,4,1,,3,1,0.260968,0.118859,0.280159,0.424257,0.352011,0.520576,0.371097,0.872587,0.259608,3.66491,0.314414,0.103117,-0.774274,101.814,29.0285,137.359,-0.671157,-1.62448,26.452433228492737,-12.874478816986084,3.5584,17.850000381469727,,,,,,,903.6,6.318881118,903.6,6.318881118,,,,,,,,,,,,,,,,,,,"Nick Kurtz","35110",701762
"Byron Buxton","MIN",130,560,502,125,66,25,5,29,85,76,44,3,153,9,4,1,,17,2,0.24863,0.077812,0.273901,0.284088,0.317042,0.488902,0.342134,0.805944,0.240272,7.02923,0.296538,0.744922,1.89124,79.3896,13.2213,119.469,2.63616,0.407918,15.486353397369385,0.007918566465377808,3.55726,71.55000305175781,,,,,,,757.3,5.825384615,757.3,5.825384615,,,,,,,,,,,,,,,,,,,"Byron Buxton","14161",621439
"Pete Alonso","BAL",157,679,597,158,85,34,1,38,89,111,61,5,152,14,7,0,,2,1,0.264016,0.0902864,0.224511,0.402146,0.342725,0.514963,0.363484,0.857688,0.250947,2.62358,0.289373,-1.25459,-1.02747,108.03,27.8008,136.379,-2.28205,-2.74566,26.831336975097656,-15.470659971237183,3.55339,24.479999542236328,,,,,,,975.3,6.21210191,975.3,6.21210191,,,,,,,,,,,,,,,,,,,"Pete Alonso","19251",624413
"Riley Greene","DET",151,651,584,154,91,30,3,29,85,97,58,2,176,5,4,0,,3,2,0.263992,0.0884687,0.270984,0.326473,0.332729,0.476932,0.347039,0.809661,0.21294,3.55238,0.326189,0.00497869,-1.01256,94.8826,17.9619,123.355,-1.00758,2.34233,16.912142872810364,-5.0326738357543945,3.50787,77.91000366210938,,,,,,,844.2,5.590728476,844.2,5.590728476,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
"Jacob Wilson","ATH",143,616,568,168,118,35,1,14,75,78,34,1,48,8,3,2,,6,2,0.294728,0.0555481,0.0776592,0.71528,0.341638,0.431684,0.336008,0.773322,0.136956,3.59366,0.301715,0.0529405,-0.848482,84.2645,11.4793,113.187,-0.795542,-2.29227,8.778928756713867,4.157727003097534,3.49278,187.4199981689453,,,,,,,743.4,5.198601398,743.4,5.198601398,,,,,,,,,,,,,,,,,,,"Jacob Wilson","33266",805779
"Roman Anthony","BOS",146,630,536,142,89,31,3,19,92,70,83,1,156,5,4,2,,9,4,0.26559,0.131777,0.246927,0.533667,0.366956,0.440778,0.353254,0.807734,0.175188,4.89325,0.337478,0.336996,-0.757914,95.0012,20.5618,123.691,-0.420918,3.34839,17.170556604862213,-4.901605844497681,3.47377,52.970001220703125,,,,,,,814.7,5.580136986,814.7,5.580136986,,,,,,,,,,,,,,,,,,,"Roman Anthony","31812",701350
"Kevin McGonigle","DET",125,539,472,121,73,29,3,16,75,64,57,0,74,4,5,2,,10,4,0.255553,0.105075,0.13744,0.76452,0.336574,0.429435,0.333458,0.766009,0.173882,4.91594,0.27052,-0.0752278,-0.63025,72.6158,8.92879,114,-0.705478,1.50785,8.188356757164001,7.08284604549408,3.46049,999,,,,,,,648,5.184,648,5.184,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","sa3022895",805808
"Manny Machado","SDP",149,644,583,153,98,28,0,26,80,90,53,4,127,3,4,0,,9,2,0.263038,0.0827578,0.196675,0.420784,0.325281,0.447703,0.332031,0.772983,0.184665,3.51352,0.292497,-0.446684,-0.107799,86.0155,9.92196,116.776,-0.554483,-0.0905862,12.250056862831116,-0.3905862420797348,3.40552,37.970001220703125,,,,,,,778.9,5.227516778,778.9,5.227516778,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Steven Kwan","CLE",154,665,593,165,125,27,3,11,86,60,61,1,61,5,4,3,,19,5,0.279317,0.0913315,0.092185,0.990741,0.349304,0.390376,0.326266,0.73968,0.11106,5.09481,0.294646,0.62042,0.50021,85.7076,7.13269,110.481,1.12063,6.86077,9.335164546966553,0.9357657432556152,3.3926,168.35000610351562,,,,,,,749.9,4.869480519,749.9,4.869480519,,,,,,,,,,,,,,,,,,,"Steven Kwan","24610",680757
