Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jo Adell","LAA",139.555,567.953,517.515,120.932,67.5161,21.7598,1.48389,30.1724,68.6298,82.5681,38.4285,0.977786,155.448,8.70281,2.82313,0.484049,7.58184,8.57843,3.2764,0.233679,0.0676614,0.273699,0.247211,0.296163,0.456367,0.322732,0.752531,0.222689,4.26939,0.271154,-0.131648,-0.376469,71.5704,4.46239,105.684,-0.508117,-5.1387,3.296649754047394,-10.114326000213623,1.30247,119.69000244140625,2.53316,-1.2653,1.04713,2.53316,1.2653,3.60382,660.8,4.72,660.8,4.72,,,,,,,,,,,,,,,,,,,"Jo Adell","20220",666176
"Gavin Lux","TBR",110.317,446.892,397.483,100.323,70.7809,20.6507,2.23638,6.6548,51.0461,42.6686,44.9002,0.244702,98.5715,1.70733,2.27208,0.528836,7.3032,3.06779,0.955965,0.252395,0.100472,0.220572,0.455508,0.329173,0.365829,0.308269,0.695001,0.113434,3.91327,0.318027,0.0951803,-0.55127,51.0673,-1.73643,96.4731,-0.45609,-1.90148,-2.318928360939026,-0.14667832851409912,1.29519,746.5999755859375,1.71972,-0.268425,0.692409,1.71972,0.268425,4.07679,445,4.045454545,445,4.045454545,,,,,,,,,,,,,,,,,,,"Gavin Lux","19955",666158
"Ha-Seong Kim","ATL",88.4649,356.275,311.851,75.2715,52.6269,13.3725,1.24775,8.02436,41.9423,34.1422,36.7899,1.01444,65.0043,2.94863,2.86306,1.82228,4.80126,13.3284,3.57613,0.24137,0.103263,0.182455,0.565961,0.324472,0.369447,0.306626,0.693919,0.128077,5.30261,0.278242,-0.0844921,0.598118,40.2371,-1.85955,95.1632,0.513626,-1.80456,-1.5287457704544067,2.2910354137420654,1.29074,741.5599975585938,2.11551,-0.297687,1.0631,2.11551,0.297687,3.58253,360.1,4.092045454,360.1,4.092045454,,,,,,,,,,,,,,,,,,,"Ha-Seong Kim","27506",673490
"Alec Burleson","STL",139.345,578.494,529.022,141.603,95.5921,25.214,1.0949,19.7021,64.608,73.787,39.7914,0.73359,82.4444,3.65059,4.82546,1.20482,11.2589,5.92187,1.75098,0.26767,0.0687844,0.142516,0.482645,0.320541,0.431198,0.325099,0.75174,0.163529,3.51689,0.282374,-0.714202,-0.445695,74.0103,5.65672,108.034,-1.1599,-0.899217,4.333191752433777,-11.403964698314667,1.27972,176.82000732421875,2.4131,0.689658,0.612479,2.4131,-0.689658,4.18336,670.2,4.821582733,670.2,4.821582733,,,,,,,,,,,,,,,,,,,"Alec Burleson","27615",676475
"Luis García Jr.","WSN",122.736,501.225,467.125,123.994,83.5887,23.8065,1.84628,14.7526,58.0913,61.5265,27.5318,1.40892,79.2358,1.70772,4.57762,0.282657,8.4875,13.4541,4.62601,0.265441,0.0549291,0.158084,0.347467,0.305891,0.419054,0.311976,0.724945,0.153614,4.88111,0.289217,-0.201296,0.0608399,58.7843,-0.439261,99.3186,-0.140456,-0.195076,-0.545237347483635,-3.7964945137500763,1.26194,251.72000122070312,1.81442,-0.253911,0.645016,1.81442,0.253911,4.13998,550.1,4.472357723,550.1,4.472357723,,,,,,,,,,,,,,,,,,,"Luis Garcia Jr.","20391",671277
"Nolan Schanuel","LAA",141.12,599.038,517.309,134.905,97.6594,23.3274,1.3604,12.5574,70.3953,57.1424,65.694,2.93814,84.3864,9.16414,4.27155,2.59921,11.9908,6.07502,1.68825,0.260782,0.109666,0.14087,0.778491,0.351692,0.383958,0.325414,0.735651,0.123177,3.65017,0.288122,-0.919361,-0.595873,76.792,6.01105,107.531,-1.51523,-1.34583,3.8022031784057617,-12.234722018241882,1.24672,561.7999877929688,3.16085,0.105596,0.587388,3.16085,-0.105596,4.21682,664.4,4.712056737,664.4,4.712056737,,,,,,,,,,,,,,,,,,,"Nolan Schanuel","33189",694384
"Daylen Lile","WSN",132.291,546.36,499.221,132.551,87.3856,26.7457,7.81298,10.6068,65.1585,59.1064,35.917,0.444602,97.0314,5.95609,4.08979,1.17612,6.98405,13.967,4.63862,0.265516,0.0657388,0.177596,0.370159,0.319937,0.414132,0.318342,0.734068,0.148616,6.51457,0.308195,0.509618,0.0434098,66.9019,2.34529,103.68,0.553028,-1.37701,2.9359055757522583,-9.094951033592224,1.22964,204.3800048828125,1.56869,-3.45444,0.760874,1.56869,3.45444,3.9855,611.7,4.634090909,611.7,4.634090909,,,,,,,,,,,,,,,,,,,"Daylen Lile","29995",695734
"Nick Gonzales","PIT",95.413,394.5,361.493,93.2202,62.1063,20.8896,2.92115,7.30311,43.5639,40.0828,23.8317,0.371894,80.3897,4.80714,3.62073,0.747537,7.08691,2.23768,1.45301,0.257875,0.0604099,0.203776,0.296452,0.309481,0.392432,0.305447,0.701913,0.134556,4.21844,0.309699,0.252969,-0.744114,44.1765,-2.43676,92.9428,-0.491145,-0.273113,-3.790819972753525,2.475410759449005,1.20828,999,2.90424,-0.27249,0.877233,2.90424,0.27249,3.83036,391.6,4.122105263,391.6,4.122105263,,,,,,,,,,,,,,,,,,,"Nick Gonzales","27490",693304
"Heliot Ramos","SFG",144.326,607.953,548.632,138.832,91.0518,24.5664,1.867,21.3469,73.1137,71.2007,45.3527,1.53084,147.802,9.36651,4.03266,0.568751,11.1585,6.06576,2.4464,0.253051,0.0745991,0.243114,0.306848,0.318664,0.421363,0.321229,0.740027,0.168311,3.92158,0.306337,-0.154111,-0.74092,75.8691,4.03472,105.376,-0.895031,-4.37268,2.9677252173423767,-11.73973274230957,1.20767,219.6300048828125,3.31833,-0.538779,0.356491,3.31833,0.538779,4.52468,678.5,4.711805555,678.5,4.711805555,,,,,,,,,,,,,,,,,,,"Heliot Ramos","22515",671218
"Samuel Basallo","BAL",108.491,423.048,383.044,91.9852,57.0592,18.2517,0.404128,16.2701,49.952,55.6026,32.9096,1.79009,103.268,3.74297,2.71472,0.636141,8.45837,2.46267,0.958413,0.240142,0.0777918,0.244105,0.318682,0.304532,0.417329,0.311944,0.721861,0.177187,2.99849,0.284407,-0.021847,-0.506791,49.6048,-0.381577,100.875,-0.528638,0.145223,-0.09243124723434448,-2.816907152533531,1.19207,174.24000549316406,2.31018,-0.339394,0.379099,2.31018,0.339394,4.49453,446.8,4.137037037,446.8,4.137037037,,,,,,,,,,,,,,,,,,,"Samuel Basallo","28824",694212
