Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Josh Ekness","MIA",1,1,0,4.58926,22,0,0,1,,22,98,21,12,11,3,10,,3,19,7.94464,4.21239,1.88602,1.06424,0.197509,0.104723,0.09278631955385208,0.247446,1.4296,0.292314,0.697731,,,4.65717,-0.0262997,-0.0256591,999,,,,,,,74.30000000000001,3.377272727272728,74,3.3636363636363638,,,,,,,,,,,,,,,,,,,"Josh Ekness","sa3023204",694795
"Dylan Coleman","NYY",1,1,0,4.96097,10,0,0,1,,10,46,9,6,6,1,7,,1,10,8.81119,6.30347,1.39783,1.10891,0.213559,0.152779,0.06078016757965088,0.233081,1.58155,0.283,0.697785,,,5.19028,-0.0269405,-0.0381405,999,,,,,,,38.300000000000004,3.8300000000000005,37,3.7,,,,,,,,,,,,,,,,,,,"Dylan Coleman","22276",669395
"Cole Wilcox","SEA",1,1,0,4.25163,25,0,0,1,,25,108,25,13,12,3,9,,1,19,7.00287,3.22495,2.17147,1.04029,0.179716,0.0827627,0.09695372730493546,0.254546,1.356,0.291527,0.708187,,,4.31207,-0.0274002,-0.0557871,999,,,,,,,95.1,3.804,98,3.92,,,,,,,,,,,,,,,,,,,"Cole Wilcox","27481",677961
"Victor Mederos","LAA",1,2,0,4.83702,24,0,0,1,,24,107,25,14,13,3,10,,2,18,6.91302,3.56462,1.93935,1.27792,0.172853,0.0891296,0.08372339606285095,0.262955,1.43479,0.294969,0.690886,,,4.92543,-0.02821,-0.0636924,999,,,,,,,79.70000000000002,3.320833333333334,85,3.5416666666666665,,,,,,,,,,,,,,,,,,,"Victor Mederos","31533",682989
"Robinson Ortiz","SEA",2,2,0,4.2012,34,0,0,1,,34,149,30,17,16,4,17,,2,32,8.54873,4.54697,1.88009,0.964287,0.216388,0.115094,0.10129337757825851,0.234285,1.40058,0.285103,0.715456,,,4.33209,-0.0283877,-0.0542401,999,,,,,,,135.40000000000003,3.9823529411764715,129,3.7941176470588234,,,,,,,,,,,,,,,,,,,"Robinson Ortiz","sa3004006",673662
"Scott McGough",,1,1,0,4.8062,24,0,0,0,,24,106,24,14,13,4,10,,1,21,8.04205,3.78463,2.12493,1.36734,0.203058,0.09556,0.10749787092208862,0.25663,1.43443,0.296686,0.704813,,,4.67205,-0.0285671,-0.160597,999,,,,,,,75.00000000000003,3.1250000000000013,77,3.2083333333333335,,,,,,,,,,,,,,,,,,,"Scott McGough","12056",543518
"Zach Maxwell","CIN",2,2,0,4.65954,40,0,0,1,,40,176,37,22,21,6,22,,1,41,9.26534,4.89081,1.89444,1.29592,0.233486,0.123248,0.11023794114589691,0.237895,1.45659,0.288615,0.719599,,,4.66,-0.0285839,-0.0295271,999,,,,,,,143,3.575,139,3.475,,,,,,,,,,,,,,,,,,,"Zach Maxwell","31610",687209
"Tyson Miller","CHW",1,1,0,5.16633,15,0,0,1,,15,67,15,9,9,2,7,,1,12,7.31847,4.1822,1.74991,1.3718,0.182369,0.104216,0.07815276831388474,0.257183,1.47537,0.289539,0.684701,,,5.07756,-0.0286299,-0.0496722,999,,,,,,,51.400000000000006,3.426666666666667,53,3.533333333333333,,,,,,,,,,,,,,,,,,,"Tyson Miller","19976",668338
"Seth Johnson","PHI",1,1,0,4.80859,18,0,0,1,,18,80,18,10,10,3,8,,0,16,7.96621,4.12856,1.92954,1.36969,0.20012,0.103714,0.09640596061944962,0.254798,1.46235,0.293438,0.710841,,,4.79568,-0.028789,-0.024009,999,,,,,,,61.500000000000014,3.4166666666666674,63,3.5,,,,,,,,,,,,,,,,,,,"Seth Johnson","26020",686751
"Garrett Acton","MIA",1,1,0,4.6543,20,0,0,1,,20,87,19,11,10,3,9,,1,19,8.56345,4.00242,2.13957,1.37632,0.217757,0.101776,0.11598064750432968,0.248958,1.41496,0.292651,0.718507,,,4.63706,-0.0293108,-0.0260445,999,,,,,,,73.69999999999999,3.6849999999999996,73,3.65,,,,,,,,,,,,,,,,,,,"Garrett Acton","27583",670183
"Carson Palmquist","COL",1,2,0,5.12257,26,0,0,1,,26,116,26,16,15,4,12,,2,25,8.56114,4.2735,2.00331,1.47458,0.212645,0.106147,0.10649800300598145,0.257063,1.48367,0.300775,0.696026,,,5.00928,-0.0295361,-0.0312106,999,,,,,,,87.6,3.369230769230769,90,3.4615384615384617,,,,,,,,,,,,,,,,,,,"Carson Palmquist","31612",687223
"Scott Blewett","STL",1,1,0,4.37214,24,0,0,1,,24,104,25,13,12,3,9,,1,18,6.607,3.21325,2.05618,1.14345,0.168776,0.0820827,0.08669377118349075,0.261241,1.39105,0.29286,0.711557,,,4.49306,-0.0297457,-0.0397991,999,,,,,,,85.70000000000002,3.570833333333334,91,3.7916666666666665,,,,,,,,,,,,,,,,,,,"Scott Blewett","16427",656240
