Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Brady Singer","CIN",8.84587,11.1632,12.6799,4.7599,28.83,28.83,0,0,,164.518,710.043,165.77,92.77,87.01,24.7849,55.3013,0.435213,8.61285,147.821,8.0866,3.02527,2.67302,1.35587,0.208187,0.0778844,0.13030215352773666,0.256559,1.34375,0.297738,0.688414,,,4.46206,1.80662,0.98323,358.4800109863281,,,,,,,585.9,3.550909090909091,604,3.6606060606060606,,,,,,,,,,,,,,,,,,,"Brady Singer","25377",663903
"Cade Cavalli","WSN",6.95794,9.78994,9.8789,4.43967,24.333,24.333,0,0,,135.091,580.834,133.485,71.3,66.64,16.239,46.9972,0.452671,7.16129,109.283,7.28062,3.13104,2.32531,1.08187,0.188148,0.0809133,0.10723487287759781,0.253448,1.33601,0.292272,0.692133,,,4.28264,1.79244,1.30629,331.8699951171875,,,,,,,512.4000000000001,3.795555555555556,523,3.8740740740740742,,,,,,,,,,,,,,,,,,,"Cade Cavalli","27473",676917
"Dustin May","STL",7.14786,10.0227,6.58285,4.47565,29.511,22.979,0,0.6663,,137.122,588.593,129.946,72.66,68.19,16.0873,50.471,1.22546,8.05683,116.544,7.64935,3.31266,2.30913,1.05589,0.198004,0.0857485,0.11225561052560806,0.245151,1.31574,0.286484,0.68246,,,4.24094,1.78764,1.15123,563.75,,,,,,,543.0000000000002,3.963503649635038,541,3.948905109489051,,,,,,,,,,,,,,,,,,,"Dustin May","19716",669160
"Tatsuya Imai","HOU",8.76626,9.19627,11.5337,4.41977,25.629,25.629,0,0,,148.976,640.771,133.091,78.14,73.16,21.0532,63.2143,0.441393,8.98065,150.09,9.06727,3.81893,2.3743,1.27188,0.234233,0.0986535,0.1355791985988617,0.234077,1.3177,0.281903,0.708294,,,4.41117,1.78127,1.47823,999,,,,,,,582.5000000000002,3.909395973154364,556,3.7315436241610738,,,,,,,,,,,,,,,,,,,"Tatsuya Imai","sa3062955",837227
"Parker Messick","CLE",7.24998,8.85878,7.86839,4.31446,21.903,21.662,0,0,,116.149,495.738,114.04,59.69,55.68,15.3992,36.0765,0.370442,5.48687,106.034,8.2162,2.79545,2.93914,1.19323,0.213891,0.0727733,0.14111731201410294,0.251093,1.29245,0.296448,0.703393,,,4.10641,1.7763,1.2237,299,,,,,,,466.5000000000001,4.021551724137932,474,4.086206896551724,,,,,,,,,,,,,,,,,,,"Parker Messick","31986",800048
"Foster Griffin","WSN",5.41989,8.77596,4.16264,4.28395,27.863,19.831,0,0.6515,,119.308,510.48,113.327,60.88,56.79,14.7912,42.4595,1.23777,5.74432,112.736,8.50422,3.20294,2.65513,1.11578,0.220843,0.0831757,0.13766686618328094,0.245151,1.30575,0.294358,0.702602,,,4.06907,1.76874,1.22294,999,,,,,,,488.2999999999999,4.103361344537814,486,4.084033613445378,,,,,,,,,,,,,,,,,,,"Foster Griffin","16432",656492
"Bryce Miller","SEA",8.79684,8.71742,10.8521,4.40027,25.264,25.264,0,0,,143.889,604.751,133.457,75.13,70.35,22.6575,43.0862,0.489288,5.31303,124.316,7.77575,2.69497,2.88529,1.41718,0.205566,0.0712462,0.13431958109140396,0.239878,1.22694,0.270652,0.700257,,,4.46333,1.75854,1.46708,258.7900085449219,,,,,,,540.9000000000001,3.7562500000000005,525,3.6458333333333335,,,,,,,,,,,,,,,,,,,"Bryce Miller","29837",682243
"Eduardo Rodriguez","ARI",7.66722,9.5171,7.72931,4.68714,26.849,23.642,0,0.6568,,132.183,572.607,133.502,73.68,68.84,18.09,48.9588,0.933127,3.53098,115.853,7.88816,3.33348,2.36635,1.2317,0.202326,0.0855015,0.11682473123073578,0.256677,1.38037,0.298861,0.692278,,,4.35263,1.75618,0.790501,746.4500122070312,,,,,,,484.0000000000002,3.6666666666666683,503,3.8106060606060606,,,,,,,,,,,,,,,,,,,"Eduardo Rodriguez","13164",593958
"Brayan Bello","BOS",9.25917,9.42597,11.823,4.35019,26.749,26.749,0,0,,154.483,664.383,152.273,80.55,74.67,18.5278,55.3994,0.3996,7.38765,119.456,6.95936,3.2275,2.15627,1.07941,0.1798,0.0833847,0.09641503542661667,0.253115,1.34431,0.288485,0.699499,,,4.36706,1.75568,1.48946,441.5400085449219,,,,,,,562.7,3.653896103896104,575,3.7337662337662336,,,,,,,,,,,,,,,,,,,"Brayan Bello","23920",678394
"Gerrit Cole","NYY",7.31313,5.77531,8.7788,4.05989,18.232,18.232,0,0,,110.242,456.841,96.9299,52.99,49.73,17.1586,31.7782,0.343967,3.6352,109.095,8.90637,2.59433,3.43301,1.40081,0.238803,0.0695608,0.1692425012588501,0.230004,1.16751,0.270252,0.723288,,,4.14303,1.74964,1.56011,249.5800018310547,,,,,,,462.7,4.206363636363636,439,3.9909090909090907,,,,,,,,,,,,,,,,,,,"Gerrit Cole","13125",543037
"Kodai Senga","NYM",7.20692,7.99747,3.92274,4.20196,29.361,21.079,0,0.7173,,123.628,531.437,108.039,61.82,57.72,15.1933,57.092,1.0882,5.15544,123.335,8.97867,4.15624,2.16029,1.10605,0.232078,0.107429,0.12464876472949982,0.230266,1.33571,0.280787,0.718133,,,4.24803,1.72631,1.43783,245.30999755859375,,,,,,,516.3,4.163709677419354,489,3.943548387096774,,,,,,,,,,,,,,,,,,,"Kodai Senga","31838",673540
"Zack Littell","WSN",8.36971,9.67853,8.02053,4.42015,25.889,22.48,0,0,,131.921,553.06,131.205,69.24,64.79,20.9918,29.0794,0.70387,4.64676,102.044,6.96174,1.98388,3.50916,1.43212,0.184509,0.0525792,0.1319296509027481,0.252642,1.21501,0.278108,0.695549,,,4.42366,1.72201,1.27307,727.739990234375,,,,,,,479.9000000000002,3.635606060606062,489,3.7045454545454546,,,,,,,,,,,,,,,,,,,"Zack Littell","15823",641793
"Justin Steele","CHC",5.63203,4.16061,4.78106,3.42451,13.337,12.956,0,0,,72.4308,295.956,63.9526,29.72,27.56,7.11116,17.9859,0.216593,2.51259,67.2993,8.36238,2.23487,3.74178,0.883608,0.227396,0.0607722,0.16662383452057838,0.232168,1.13127,0.282726,0.725429,,,3.40218,1.71885,1.52324,550.8499755859375,,,,,,,351.30000000000007,4.879166666666667,340,4.722222222222222,,,,,,,,,,,,,,,,,,,"Justin Steele","17312",657006
"Shane Bieber","TOR",7.15543,6.34088,6.28454,4.02725,20.761,17.971,0,0.6524,,105.906,440.041,98.8216,50.84,47.39,15.0606,27.7537,0.525482,3.323,99.9761,8.49607,2.35854,3.60226,1.27987,0.227197,0.0630708,0.16412662714719772,0.241639,1.19517,0.284972,0.717936,,,3.97613,1.70016,1.47638,315.69000244140625,,,,,,,453.5000000000001,4.278301886792454,446,4.2075471698113205,,,,,,,,,,,,,,,,,,,"Shane Bieber","19427",669456
"Mike Burrows","HOU",7.5494,9.16827,5.27394,4.30696,28.798,23.338,0,0.6558,,125.901,531.643,114.144,64.42,60.25,19.6712,42.0284,0.923697,5.31727,125.796,8.9925,3.00439,2.99312,1.40619,0.236618,0.0790539,0.15756382793188095,0.235691,1.24044,0.278822,0.713291,,,4.29613,1.69967,1.38559,261.2200012207031,,,,,,,505.0000000000001,4.007936507936509,485,3.8492063492063493,,,,,,,,,,,,,,,,,,,"Mike Burrows","24728",681347
