Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Joey Ortiz","MIL",131.129,511.81,467.541,112.068,79.2926,22.4902,2.35138,7.93393,53.0636,46.5928,33.4743,0.56015,88.9657,3.99476,3.18946,3.61018,9.21163,12.9062,3.6857,0.239697,0.0654038,0.173826,0.376261,0.294249,0.348767,0.282995,0.643016,0.10907,5.22178,0.278559,,0.304746,47.9832,-12.4911,80.2005,0.304746,2.41,-11.705623865127563,8.4807870388031,1.41224,742.02001953125,,,,,,,434.1,3.313740458,434.1,3.313740458,,,,,,,,,,,,,,,,,,,"Joey Ortiz","25493",687401
"Ryan McMahon","NYY",117.126,474.267,414.873,86.574,52.2901,16.626,0.778738,16.8791,52.8095,52.6561,53.3098,1.36171,151.211,2.69147,2.97952,0.413641,7.59214,3.33864,1.23988,0.208676,0.112405,0.318831,0.352552,0.300885,0.37456,0.297242,0.675445,0.165884,3.26779,0.279045,,-0.545941,49.9494,-6.08887,90.4311,-0.545941,1.56,-5.894741177558899,3.367499828338623,1.41153,728.3900146484375,,,,,,,457.9,3.913675213,457.9,3.913675213,,,,,,,,,,,,,,,,,,,"Ryan McMahon","15112",641857
"Pedro Pagés","STL",89.663,332.555,305.543,68.1045,46.5772,12.3268,0.503654,8.6968,30.6929,35.3808,20.1584,0.657757,89.5147,3.15388,2.23256,1.4668,6.03685,0.695242,0.237454,0.222896,0.0606169,0.269173,0.225197,0.27611,0.351927,0.274828,0.628038,0.129031,2.47492,0.283482,,-0.415239,28.9725,-10.3214,75.9993,-0.415239,5.54,-9.875045269727707,12.458441257476807,1.39632,999,,,,,,,270.8,3.008888888,270.8,3.008888888,,,,,,,,,,,,,,,,,,,"Pedro Pages","25782",686780
"Ramón Laureano","SDP",127.134,517.849,467.355,114.204,69.4055,20.7244,3.63153,20.4423,67.9637,64.9357,36.5159,0.64524,137.337,9.84714,3.52653,0.604846,9.36955,9.01156,2.41328,0.244362,0.0705145,0.265207,0.265885,0.310427,0.435468,0.322317,0.745895,0.191106,5.64865,0.29946,,0.0540263,65.0821,3.89421,110.121,0.0540263,-4.13,6.2661583088338375,-10.015833377838135,1.3791,222.8699951171875,,,,,,,595.6,4.689763779,595.6,4.689763779,,,,,,,,,,,,,,,,,,,"Ramon Laureano","17128",657656
"Brandon Marsh","PHI",119.811,467.961,415.378,104.289,68.1812,20.6967,2.16713,13.2442,57.5188,50.6655,44.9961,1.2154,133.463,2.88387,2.77981,1.92289,7.07444,9.60596,2.70379,0.25107,0.0961535,0.285201,0.337144,0.326517,0.406985,0.320226,0.733502,0.155915,5.19825,0.335401,,0.0557705,58.0178,2.72465,103.34,0.0557705,-0.19,1.908239122480154,-4.070159614086151,1.37173,657.510009765625,,,,,,,516.5,4.304166666,516.5,4.304166666,,,,,,,,,,,,,,,,,,,"Brandon Marsh","20202",669016
"Lars Nootbaar","STL",119.783,511,443.347,105.334,69.9439,20.4754,1.51393,13.4007,58.3521,52.9649,59.3347,2.0812,102.365,3.49033,3.43189,1.39648,9.93491,5.74323,2.11766,0.237588,0.116115,0.200322,0.579641,0.32998,0.38128,0.313612,0.71126,0.143692,3.86464,0.277733,,-0.581333,60.6097,0.23111,102.568,-0.581333,0.31,0.9736716151237488,-4.824730813503265,1.34541,727.5700073242188,,,,,,,528.4,4.403333333,528.4,4.403333333,,,,,,,,,,,,,,,,,,,"Lars Nootbaar","21454",663457
"Kyle Stowers","MIA",138.465,576.261,512.067,120.113,69.182,25.1128,1.86687,23.9517,67.2206,77.119,52.6595,1.94051,164.854,6.86907,3.82526,0.839783,9.18643,3.82082,1.08332,0.234566,0.0913813,0.286075,0.319431,0.312192,0.431223,0.321329,0.743415,0.196657,3.54076,0.293994,,-0.51637,71.9608,3.87114,104.365,-0.51637,-2.22,2.464786112308502,-8.532172441482544,1.3408,132.6999969482422,,,,,,,654.3,4.741304347,654.3,4.741304347,,,,,,,,,,,,,,,,,,,"Kyle Stowers","26151",669065
"Victor Caratini","MIN",91.372,347.302,310.188,76.7844,55.0978,11.8278,0.296265,9.56251,37.2045,38.5225,26.4439,0.851751,63.5494,6.23185,3.00485,0.448383,8.55721,0.929049,0.317495,0.247541,0.0761409,0.18298,0.416116,0.316479,0.380067,0.306003,0.696546,0.132526,2.42647,0.279997,,-0.518039,39.0478,-1.98862,94.5796,-0.518039,3.46,-2.736788272857666,3.64800825715065,1.31623,699.5800170898438,,,,,,,347.9,3.823076923,347.9,3.823076923,,,,,,,,,,,,,,,,,,,"Victor Caratini","14968",605170
"Nick Gonzales","PIT",99.006,408.604,374.84,97.7966,66.6751,21.9107,2.01341,7.19742,43.9916,43.307,24.1319,0.519389,83.5439,5.17015,3.49805,0.964242,7.90989,3.23734,1.08928,0.260902,0.0590594,0.204462,0.288853,0.311792,0.387703,0.305023,0.699494,0.1268,4.06226,0.315022,,-0.428793,45.6151,-2.66463,92.6522,-0.428793,0.4,-3.987196058034897,3.2520245611667633,1.31566,999,,,,,,,404.7,4.087878787,404.7,4.087878787,,,,,,,,,,,,,,,,,,,"Nick Gonzales","27490",693304
"Hunter Feduccia","TBR",73.92,256.047,228.853,48.6212,33.5075,10.1413,0.636261,4.3362,23.1769,23.9581,24.015,0.334136,65.8076,1.20528,1.62021,0.353864,4.85613,0.461673,0.18377,0.212457,0.0937915,0.257014,0.364928,0.28879,0.319173,0.271585,0.607963,0.106717,2.62495,0.276213,,-0.368419,21.6329,-8.62107,70.7462,-0.368419,7.49,-9.196653246879578,13.193703174591064,1.3106,999,,,,,,,192.7,2.604054054,192.7,2.604054054,,,,,,,,,,,,,,,,,,,"Hunter Feduccia","23372",676439
"Cedric Mullins","TBR",111.23,451.128,399.896,91.8347,56.0966,17.951,2.94321,14.8439,58.1007,47.2881,41.0148,0.583791,100.096,4.01815,3.13868,2.8135,4.81068,20.9753,4.59648,0.229647,0.090916,0.221879,0.409754,0.305462,0.400614,0.307809,0.706076,0.170967,6.5157,0.267241,,1.64895,51.3826,-1.92165,95.6994,1.64895,-3.43,-0.6377086639404297,-2.117372989654541,1.30674,323.7300109863281,,,,,,,486.4,4.381981981,486.4,4.381981981,,,,,,,,,,,,,,,,,,,"Cedric Mullins","17929",656775
"Brenton Doyle","COL",137.664,562.897,515.697,129.755,82.7757,24.4971,3.32677,19.1551,72.8761,64.5366,36.1278,0.3693,151.206,3.31454,4.30956,3.44795,7.69453,21.1139,5.16735,0.25161,0.0641819,0.268621,0.238931,0.302435,0.423448,0.313244,0.725883,0.171837,6.23461,0.316319,,1.30225,66.597,0.0864088,86.5146,1.30225,-0.49,-7.694551944732666,1.634444236755371,1.29606,168.6199951171875,,,,,,,620.2,4.494202898,620.2,4.494202898,,,,,,,,,,,,,,,,,,,"Brenton Doyle","25479",686668
"Denzel Clarke","ATH",97.628,377.79,344.89,76.8664,50.3723,16.4593,1.92097,8.11385,44.2343,32.2725,24.9238,0.0697665,127.951,5.0542,1.70563,1.21642,6.00109,10.7646,2.92601,0.222872,0.0659727,0.338683,0.194792,0.283728,0.352313,0.28012,0.636041,0.129441,6.05362,0.326568,,0.424678,34.5366,-10.1022,74.6885,0.424678,8.79,-10.845776945352554,10.296604752540588,1.27417,741.9199829101562,,,,,,,321.7,3.282653061,321.7,3.282653061,,,,,,,,,,,,,,,,,,,"Denzel Clarke","29858",672016
"Sal Stewart","CIN",117.127,472.293,429.534,115.542,73.6511,23.7635,0.530722,17.5966,57.2836,61.6883,34.4906,0.844474,86.6625,4.16483,3.53534,0.56771,8.99966,5.9812,1.74229,0.268993,0.073028,0.183493,0.397988,0.32688,0.449689,0.334918,0.776568,0.180695,3.60446,0.297877,,-0.253094,64.1885,8.38347,110.135,-0.253094,-0.09,5.419914096593857,-8.725907176733017,1.26942,183.1199951171875,,,,,,,583.9,4.99059829,583.9,4.99059829,,,,,,,,,,,,,,,,,,,"Sal Stewart","31505",701398
"Jorge Polanco","NYM",123.095,506.498,450.774,110.593,67.3574,21.4552,0.376421,21.404,61.5413,65.6224,45.0951,1.36234,103.4,3.64645,3.90049,1.37815,7.62883,5.39807,1.90368,0.24534,0.0890331,0.204147,0.436123,0.316507,0.437055,0.325416,0.753562,0.191715,3.4047,0.270376,,-0.45743,64.9297,5.08304,111.806,-0.45743,-1.34,6.630032241344452,-11.134115099906921,1.26328,213.49000549316406,,,,,,,579.8,4.713821138,579.8,4.713821138,,,,,,,,,,,,,,,,,,,"Jorge Polanco","13152",593871
